Model,Accuracy,Accuracy_Std,Precision_Weighted,Precision_Weighted_Std,Precision_Macro,Precision_Macro_Std,Recall_Weighted,Recall_Weighted_Std,Recall_Macro,Recall_Macro_Std,F1_Weighted,F1_Weighted_Std,F1_Macro,F1_Macro_Std,ROC_AUC,ROC_AUC_Std,Balanced_Score
RandomForest,0.9998244073748903,0.00035118525021951005,0.9998247154321274,0.0003505691357454488,0.9998245614035088,0.0003508771929824572,0.9998244073748903,0.00035118525021951005,0.9998245614035088,0.0003508771929824572,0.9998244073748903,0.00035118525021951005,0.9998244073748903,0.00035118525021951005,,,0.9998244843891996
DecisionTree,0.9998244073748903,0.00035118525021951005,0.9998247154321274,0.0003505691357454488,0.9998245614035088,0.0003508771929824572,0.9998244073748903,0.00035118525021951005,0.9998245614035088,0.0003508771929824572,0.9998244073748903,0.00035118525021951005,0.9998244073748903,0.00035118525021951005,,,0.9998244843891996
GradientBoosting,0.9998244073748903,0.00035118525021951005,0.9998247154321274,0.0003505691357454488,0.9998245614035088,0.0003508771929824572,0.9998244073748903,0.00035118525021951005,0.9998245614035088,0.0003508771929824572,0.9998244073748903,0.00035118525021951005,0.9998244073748903,0.00035118525021951005,,,0.9998244843891996
XGBoost,0.9998244073748903,0.00035118525021951005,0.9998247154321274,0.0003505691357454488,0.9998245614035088,0.0003508771929824572,0.9998244073748903,0.00035118525021951005,0.9998245614035088,0.0003508771929824572,0.9998244073748903,0.00035118525021951005,0.9998244073748903,0.00035118525021951005,,,0.9998244843891996
LogisticRegression,0.992097097475509,0.002355363493783548,0.9922305665181902,0.002272373431792964,0.9922316031921433,0.002267888345072082,0.992097097475509,0.002355363493783548,0.9920960133197669,0.002359967090391526,0.9920964399500836,0.00235602289924242,0.992096415582072,0.0023560767801597436,,,0.9921303332310941
SVM,0.9827889910521825,0.001970247370890721,0.9831250645230647,0.0017885778854227618,0.983124336682276,0.0017958933653792902,0.9827889910521825,0.001970247370890721,0.9827897511793544,0.001962780051748857,0.9827858302594652,0.0019723728857073634,0.9827858475955242,0.001972221186955354,,,0.9828723772613597
KNN,0.8965602052798142,0.007930627738560007,0.910791100974867,0.006297715834158983,0.9107913136363756,0.006290024970678286,0.8965602052798142,0.007930627738560007,0.8965596768723214,0.007940320870114485,0.8956452736295895,0.0081136926780532,0.8956450819862092,0.008114651526456206,,,0.8999349428735325
